time,mean_D,std_D,cv_D,relative_contrast_D,q_amp,moran_D
155.0,0.08449882967704464,0.047479404164167904,0.561894222034017,1.1919576426121863,0.15786255837760657,-0.5
155.5,0.08450704707983052,0.047490455848969534,0.5619703621179326,1.1921191597086196,0.15790534394948016,-0.5
156.0,0.0845149995803912,0.04750114364075286,0.5620439434016617,1.192275248657963,0.15794669715724516,-0.4999999999999999
156.5,0.08452269336311255,0.04751147823502712,0.5621150527103542,1.192426093613663,0.15798666624178218,-0.5000000000000001
157.0,0.08453014372416434,0.047521475096795454,0.5621837725943751,1.1925718696526235,0.158025297084222,-0.49999999999999983
157.5,0.08453735449535713,0.047531143169594475,0.5622501845879851,1.1927127496857546,0.15806263503461168,-0.5
158.0,0.08454432984745071,0.047540491260359835,0.5623143662755443,1.1928488982315264,0.1580987232599336,-0.5000000000000002
158.5,0.08455108331513363,0.047549533256477663,0.5623763929700812,1.1929804749730095,0.1581336036850196,-0.5
159.0,0.0845576189631088,0.04755827752231254,0.5624363375589075,1.1931076344258789,0.15816731690333868,-0.5
159.5,0.08456394348618598,0.04756673368722755,0.5624942703269019,1.1932305255575184,0.1581999020752969,-0.5
160.0,0.08457006336964328,0.047574911065122176,0.5625502591523345,1.193349292194911,0.15823139703617933,-0.5
160.5,0.08457598687110107,0.04758281978021526,0.5626043696390367,1.193464073295398,0.1582618383684689,-0.5
161.0,0.0845817227703966,0.04759047012708157,0.5626566658646744,1.1935750045218145,0.15829126182097594,-0.5
161.5,0.0845872576075356,0.047597859415421315,0.562707206282344,1.193682209533608,0.15831970000104034,-0.5000000000000002
162.0,0.08459263091267524,0.04760501525190297,0.5627560549694395,1.1937858238274062,0.1583471887023834,-0.5
162.5,0.08459782384020073,0.04761193150351375,0.5628032654060854,1.1938859603039396,0.15837375777587623,-0.49999999999999983
163.0,0.08460284950689222,0.047618620465383836,0.5628488962597479,1.193982742718235,0.15839944001040815,-0.49999999999999983
163.5,0.08460771141796077,0.047625088294498685,0.5628929975334221,1.1940762762543469,0.1584242633360806,-0.5
