sample_id,lam_D,lam_N,lam_ASC,Kd,n_d,n_ASC,d_D,d_N,d_A,d_ASC,f_D,f_N,k_cis,n_branches,classification,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,D_star,N_star,A_star,ASC_star
1847,11.616470817071429,0.5628403247207064,0.263616876488676,0.03221541002837718,3.6850167583173645,2.1057670703952165,0.054168087329066694,0.01680621874861652,3.6985497528945164,0.1312091329769296,0.015394799236641105,1.2582006759583169,2.7138527827443175,1,stable_homogeneous,-0.05363743403721033,-0.054168016159442306,-3.0,210.55365514136903,0.0002604607628173456,0.11193729105498351,0.1359992272587739
1848,31.223559437897517,0.19393927728275853,0.12256794570754129,0.2819569792634045,2.3269668988165195,3.6070899417375437,0.7130635493669892,0.08372561163231701,0.6629906799698927,0.10324506445636483,0.35819337020442615,1.5995532765426574,0.18690158390937825,1,stable_homogeneous,-0.10043817464001992,-0.10323967900844816,-3.0,36.7193511434205,0.0005396886843458254,0.2868671689560512,0.575101010510224
1849,3.662292757726054,0.1178888020749547,6.611937684545587,0.03843568193563117,4.223666724276349,4.2029088635682825,0.03742938289202345,0.10179039685524534,4.1798729094286955,0.01261683881459223,0.07196839814078354,1.490665321645689,2.1124564026328554,1,stable_homogeneous,-0.012616838814592227,-0.012616838814592232,3.6639024601470127,97.12068264518628,0.00010977514533170516,0.02281308764739811,471.4255647624656
1850,9.503840685316709,1.2508526204336168,1.1228016364030253,0.3827317878817549,1.7746118276225582,5.969482229177171,0.07447694078968384,0.2664397531370564,1.6242070639429231,0.13629621166297723,0.024363481666769157,0.33706533001785305,0.47343257579316467,1,nonuniform_instability,0.013024494058152187,-0.07546651753105803,-3.0,65.69994771269201,0.007615912818490466,0.6230328233176821,0.42610201820530064
1851,6.942823946705986,1.2690672869548494,0.1744029505657261,0.7997327104446685,4.8203542720021755,5.192763382103212,0.011487994581167815,0.02735242745042708,3.051843122755976,0.021446823285192294,0.023487489661724464,5.408927576848152,0.046956209583735496,0,no_positive_fixed_point,,,,,,,
1852,3.8694949672656196,2.7047909902522775,0.2854372771952282,1.225594161674518,1.4071994457984693,4.6039035892181825,0.39513725929481425,0.012596469984322957,0.6140814703543122,0.10879198885417807,0.19638262623242494,1.0298920361486938,1.8096597333351971,0,no_positive_fixed_point,,,,,,,
1853,5.73249900056717,9.573208461842881,5.875819749241531,1.2075352652971536,1.876744002575778,2.2241183057612144,0.013446168256534668,0.022240347841327626,1.7168583831965878,0.3360927614838022,0.022634626779193617,0.5897499851936501,0.036940653553742785,0,no_positive_fixed_point,,,,,,,
1854,20.54348911925336,0.14813101136430099,1.1583569782642533,0.7417383388201908,3.5693892659775965,1.1938673450886583,0.010272641830114046,0.4671728152268691,1.7366496435949526,0.1910615299386519,0.026292254294027345,2.0311353495632103,2.7121759037064512,0,no_positive_fixed_point,,,,,,,
1855,34.820704866535415,0.3414996103920185,0.2753951140204966,0.0896353072421546,3.7872175439181053,2.8239977272641608,0.17528393695938496,0.2565988561855409,0.11200107057750383,0.048579510345168955,0.29402984998051135,0.07228564043171853,0.04202971537705508,1,nonuniform_instability,0.08014465719535066,-0.06558671761995231,-3.0,0.14978385610594583,1.0416096842258364,0.6041588277934176,0.025784302704218203
1856,10.716964114266569,2.529439013024352,7.233389381494037,2.236838554586281,1.4632428000685034,4.170739445747806,0.030332175621688794,0.01936158042994604,3.6603060500768265,0.017698785179693116,0.2260736798547662,1.465330388345333,0.27469683606316303,0,no_positive_fixed_point,,,,,,,
1857,16.815325737081558,9.054290645297108,1.8041463298415068,0.6312868400101904,4.967027264664405,3.240901003952989,0.14180014471993801,0.3163191658270253,3.5947887387528605,0.49532430451617837,0.24071403867661903,2.0421869329017763,0.15653821453412667,1,nonuniform_instability,1.5109664707691566,-0.31625784846787547,-3.0,0.02752248568995265,13.763167925290011,1.291158130036962,0.3262218611700141
1858,10.062979321660682,1.8162958277452477,2.980272975908779,1.0874883473713348,4.987177294540956,3.2578491473203566,0.03318153678271166,0.03679099357287697,2.328176257188704,0.04086052037190677,0.05575812998495169,1.762775822606052,0.04164112292158116,0,no_positive_fixed_point,,,,,,,
1859,24.634196846140643,0.6252481340375357,1.8742296513560892,0.30325594024463853,2.5128182403703008,4.038921810627654,0.8160280425671752,0.9271321606060047,0.32202729341438546,0.1306414890195381,0.06417905608400609,0.2639528635422525,0.3324202619882828,1,nonuniform_instability,0.13754849183386594,-0.18538642110240436,-3.0,0.9910659924329127,0.2212366481580928,1.07831237776477,0.08491394689693248
1860,2.0420176907025755,6.9550925268947585,4.909149804235906,0.3533532438578625,5.857939458905119,4.550044472352186,0.2756296933198087,0.013218288308834633,3.9595638316518347,0.014464706989470272,0.2679989630940613,0.3195610059179986,0.7970107227631968,0,no_positive_fixed_point,,,,,,,
1861,0.5933629692826411,3.6772164217501846,0.13179701129554805,0.09936914660008521,1.9558437438564473,2.8384034319656157,0.25045265872438716,0.029440342755287324,0.15234090483897014,0.2659075299752078,0.0272870106222966,0.9957242355212085,0.04138961158221375,0,no_positive_fixed_point,,,,,,,
1862,26.234403457371307,1.9618178904156724,0.13515018851724106,0.08482490434064875,1.2463091720321569,3.6302294259455374,0.021754949060465902,0.013321247747362375,0.209076595003302,0.013044878909194346,0.0396069056180097,4.669772442979265,0.33529641259081105,0,no_positive_fixed_point,,,,,,,
