parameter,tier,multiplier,value,n_branches,branch,D_star,N_star,A_star,ASC_star,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,oscillatory
lam_ASC,tier2,0.1,0.1,1,0,0.06406170019008127,2.8325104098689637,0.6532395575815628,0.08830696764170713,0.09260768290365733,-0.09999999999999995,-3.0,False
lam_ASC,tier2,0.1778279410038923,0.1778279410038923,1,0,0.15130235148031657,1.433395236945908,0.7807538518226513,0.09546778808556078,0.043443293448598076,-0.1,-3.0,False
lam_ASC,tier2,0.31622776601683794,0.31622776601683794,1,0,1.130277718502341,0.21907739119367622,0.8914258580177915,0.11610800643338054,0.00581281980423749,-0.10000000000000095,-3.0,False
lam_ASC,tier2,0.5623413251903491,0.5623413251903491,1,0,9.158943005569835,0.027565048442906984,0.9088801474836844,0.1952091112618474,-0.005514772270564358,-0.10000000000000209,-3.0,False
lam_ASC,tier2,1.0,1.0,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
lam_ASC,tier2,1.7782794100389228,1.7782794100389228,1,0,43.119463957139324,0.0058677910639385105,0.9108576190422739,0.6134320142226077,-0.06539801102024952,-0.10000000000007049,-3.0,False
lam_ASC,tier2,3.1622776601683795,3.1622776601683795,1,0,47.3360452365099,0.005345381718695109,0.9109052310332328,1.0906883756482755,-0.08549599191126507,-0.10000000000000185,-3.0,False
lam_ASC,tier2,5.623413251903491,5.623413251903491,1,0,48.17093658563936,0.005252785040050919,0.9109136702241979,1.9394966338565147,-0.09467103523652975,-0.09999999999997068,-3.0,False
lam_ASC,tier2,10.0,10.0,1,0,48.32240786247475,0.005236328297397797,0.9109151700792245,3.4489504808868223,-0.09838702271244776,-0.09999999999997057,-3.0,False
Kd,tier1,0.5,0.15,1,0,0.45656945698939366,0.5253620209629865,0.8635113094818544,0.052143383009132266,0.01705926985345604,-0.10000000000000077,-3.0,False
Kd,tier1,0.5946035575013605,0.17838106725040814,1,0,2.110709834181559,0.11852127390085655,0.9005904661761245,0.07710853988293705,0.004984154314943883,-0.09999999999999565,-3.0,False
Kd,tier1,0.7071067811865476,0.21213203435596426,1,0,6.999767886522933,0.036037226690726655,0.9081079995927439,0.12586509926330772,-0.0018141071659487122,-0.0999999999999989,-3.0,False
Kd,tier1,0.8408964152537145,0.25226892457611433,1,0,16.41716040915778,0.015396984228280694,0.9099891356146377,0.20860617711530843,-0.013873012379933816,-0.09999999999998553,-3.0,False
Kd,tier1,1.0,0.3,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
Kd,tier1,1.189207115002721,0.3567621345008163,1,0,38.38127722462629,0.006591695141444789,0.9107916429744506,0.5669334084574701,-0.05253065482933376,-0.10000000000007106,-3.0,False
Kd,tier1,1.414213562373095,0.42426406871192845,1,0,43.86011182114787,0.005768761224413042,0.9108666445466357,0.9177757577279164,-0.0690200841399232,-0.10000000000000772,-3.0,False
Kd,tier1,1.681792830507429,0.5045378491522287,1,0,46.34404598525256,0.00545973771620479,0.9108948087144725,1.4524986902304038,-0.0803614526007882,-0.10000000000000862,-3.0,False
Kd,tier1,2.0,0.6,1,0,47.390671622266204,0.005339223482151016,0.9109057922902343,2.222625815432932,-0.08753336891815475,-0.09999999999993957,-3.0,False
Kd,tier2,0.1,0.03,1,0,0.014918230783168078,6.292196587496477,0.3379263869623464,0.006991875553093113,0.20448279521432067,-0.09999999999999996,-3.0,False
Kd,tier2,0.1778279410038923,0.05334838230116769,1,0,0.02775278379453599,4.770457602023656,0.4766165223472111,0.014003863773160692,0.17368932361772715,-0.09999999999999974,-3.0,False
Kd,tier2,0.31622776601683794,0.09486832980505137,1,0,0.07056087588701618,2.640504828216777,0.6707388004663191,0.028214761995088128,0.10390929542620526,-0.10000000000000019,-3.0,False
Kd,tier2,0.5623413251903491,0.16870239755710473,1,0,1.3019166192992158,0.19074611816988052,0.8940079487237577,0.066746903819535,0.007289479015524505,-0.09999999999999935,-3.0,False
Kd,tier2,1.0,0.3,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
Kd,tier2,1.7782794100389228,0.5334838230116768,1,0,46.78452135607825,0.0054083621904442245,0.9108994910408709,1.672823612127278,-0.08305666854306262,-0.09999999999997085,-3.0,False
Kd,tier2,3.1622776601683795,0.9486832980505138,1,0,48.0708741222527,0.005263713277909786,0.9109126742328993,5.3043332278399085,-0.09556641817003378,-0.1000000000000019,-3.0,False
Kd,tier2,5.623413251903491,1.6870239755710472,1,0,47.98582081054521,0.005273038119433832,0.910911824373925,8.639891530998531,-0.09773360157037919,-0.10000000000000175,-3.0,False
Kd,tier2,10.0,3.0,1,0,46.93053366946111,0.005391544531453134,0.9109010237895384,9.727692477334728,-0.09814801877006163,-0.1000000000000334,-3.0,False
d_D,tier1,0.5,0.05,1,0,57.003120593862334,0.004439268723812678,0.9109878134833993,0.34481539221889124,-0.02157395271715848,-0.05008593634947591,-3.0,False
d_D,tier1,0.5946035575013605,0.05946035575013606,1,0,47.94861481027961,0.005277127604123889,0.9109114516613963,0.3448991261037746,-0.024237895607578913,-0.059582839673459065,-3.0,False
d_D,tier1,0.7071067811865476,0.07071067811865477,1,0,40.334699328211684,0.006272657531094578,0.9108207198199508,0.3449986519256737,-0.026969308532783186,-0.07088554498950113,-3.0,False
d_D,tier1,0.8408964152537145,0.08408964152537146,1,0,33.93216845094533,0.007455338864407784,0.9107129311414717,0.34511693666460497,-0.029699906284500668,-0.08433981289666105,-3.0,False
d_D,tier1,1.0,0.1,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
